Name,Tags,Text
В создании кормления “по списку”  чувствительность к регистру и добавить невозможно изменить выбранное имя,высокий,
При создании нового волонтёра невозможно выбрать кухню и службу,Доне,
В разделе “направления” не сохраняется и не отображается руководитель,Доне,"Раздел ""Направления"": сейчас в категории ""руководитель"" у части отображается номер (полагаю, это айди волонтёра) без имени, у части - пусто. Ни то ни другое не отражается в списке, а только если нырнуть в карточку направления. Должно отображаться имя, конечно же. И второе, более важное - внесенные руководители не сохраняются. Я дважды вписала в бюро панику, нажала сохранить (была отбивка об успешном сохранении) - и сейчас поле вновь пустое."
"Скорректировать верстку кормителя так, чтобы службы и кнопки кормления не уползали вниз",Доне,
В выгрузку волонтеров из меню админки дети попадают с категорией питания “платно” вместо “ребенок”,Доне,
"Окно статистики следующего дня: в колонке ""на поле"" учитываются забаненные",В тесте,Забанить персонажа и провести синхронизацию - “на поле” не уменьшится на 1
Некорректное отражение логов питания при выборе диапазона в 1 день,Доне,"по дате - если указать с 1 по 15 июня - логи показывает, если с 14 по 14 июня - 0 строк, хотя сегодня они точно есть."
"если создать кормление через админку на любое количество, то в статистике, на окне текущего дня в колонке ""факт"" это будет посчитано как 1 кормление (даже если количество порций - 10)",Доне,(при этом статистика в админке считает корректно)
"если случайно обновить страницу при отсутствии интернета, то залогиниться в кухню не получится(логиниться дает только с интернетом)",Доне,
окно статистики текущего дня: учитываются забаненые,В тесте,"подумать, а баг ли это ваще"
"окно статистики админки:
не учитываются анонимы в факте",Доне,
"Дожор учитавается в админке по факту кормления, а не по периоду начала дня. Должен учитываться по началу дня. Например, дожор в 4 утра 17ого чиста должен идти в зачет дожора 16ого.",Доне,
Для Даши: различаются числа “на поле” для статистик кормителя и админки,Низкий,
Выгрузка списка волонтёров включает два столбца (волонтер и куар) вместо оговоренных всех,Доне,ОР: все столбцы аналогично тем что в админке плюс айди волонтера
Скорректировать верстку дат присутствия у волонтеров в админке,Доне,
"В истории кормлений столбец D должен быть ""тип питания"" и строки - веган или мясоед. Сейчас - Веган - нет/да",Доне,
Некорректное отображение статуса волонтера после внесения изменений и синхронизации,Доне,
"Первичный вход в фестивальную админку - ошибка 404, нажатие на кнопку ""выйти"" ведет на авторизацию.",Низкий,
"Статистика в кормителе и в админке ""на поле"" не учитывает тех, у кого в админке не проставлена дата ""до""",средний,
Невозможно удалить человека из группового бейджа.,Доне,
"надо поменять колонки план/факт в графиках, оч неудобно пользоваться",В тесте,