Name,Assign,Status,Text,coding,Система
2023,,,,,Хотелки
Разделение приложений Кормителя и Админки,,,,,Не делаем
Чем сканируем? Телеф/пистолет,,,,,Не делаем
кнопка вызова помощи,,Есть решение,,,Не делаем
синхронизация БД,,,,,Не делаем
Детали бейджей,,Дискуссия,,,Не делаем
Кнопка “я покормил безымянного”,,Есть решение,,github,Важно сделать в 2023
разное про БАН,,Есть решение,,,Важно сделать в 2023
кормёжки в днях активности,,,,,Обсуждаем
Инфо о датах пребывания волонтёра,,Есть решение,,,Обсуждаем
виджет план/факт покормленных,,Есть решение,,,Обсуждаем
Кормление на детской площадке,,Есть решение,,,Обсуждаем
Порядок внесения волонтеров в базу,,Есть решение,,github,Хотелось бы видеть в 2023
Общая статистика и прогноз на день,,Есть решение,,github,Важно сделать в 2023
Кормление детей,,Есть решение,,github,Важно сделать в 2023
Оборудование на кухне,,Создана,,,Обсуждаем
Безымянный QR для “иных” случаев,,Есть решение,,,Не делаем
Блок бейджей,,Создана,,,Не делаем
Синхрон с ноушеном,,Создана,,github,Важно сделать в 2023
Несколько точек кормления,,,,github,Хотелось бы видеть в 2023
Количество кормёжек и их учет,,Есть решение,,github,Важно сделать в 2023
Про карточки волонтера,,Есть решение,,github,Хотелось бы видеть в 2023
Кормление прибывших волонтёров,,Есть решение,,github,терпит до 2024
"Фиксация приема пищи  ",,Есть решение,,github,Хотелось бы видеть в 2023
список покормленных,,Есть решение,,github,Хотелось бы видеть в 2023
окно сканера не на весь экран,,Есть решение,,github,Хотелось бы видеть в 2023
Учет платников в базе админки,,,,github,Хотелось бы видеть в 2023
Отчет о проблемных сканированиях,,Есть решение,,github,терпит до 2024
превью экрана кухонного приложения на странице волонтёра в админке,,Есть решение,,github,терпит до 2024
Ошибки с бейджами,,Есть решение,,github,Хотелось бы видеть в 2023
Автономность приложения,,Создана,,github,Хотелось бы видеть в 2023
Фиксация платников в системе,,Есть решение,,github,Хотелось бы видеть в 2023
Про два типа питания,,Есть решение,,github,Важно сделать в 2023
синхронизация,,Дискуссия,,github,Важно сделать в 2023
Номера на бейджах,,Есть решение,,,Делаем
Поле для комментария,Alexey Cherepanov,Есть решение,,github,Хотелось бы видеть в 2023
отъезд волонтёров,,,,,Хотелки
"Если волонтёр не поел ни разу за сутки ",,Есть решение,,github,терпит до 2024
Про кнопки,,Есть решение,,github,терпит до 2024
Групповые операции,,,,github,терпит до 2024
Цвет инфоокон приложения,,Есть решение,,github,Хотелось бы видеть в 2023
Админка,,,,,2022
Приложение для кухни,,,,,2022
,,Создана,,,
,,Есть решение,,,